CÓDIGO,UNIDADE,TÍTULO,ÁREA DE CONHECIMENTO,VINCULAÇÃO,FINANCIADO,PASSA POR COMITÊ,PARTICIPAÇÃO,STATUS,DATA DE CADASTRO,PERÍODO DE VIGÊNCIA,Unnamed: 11
PI05825-2024,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,Métodos Inteligentes de Otimização para Problemas de Escalonamento e Roteamento,"Ciências Exatas e da Terra - Ciência da Computação - Teoria da Computação - Análise de Algoritmos e Complexidade de Computação, Engenharias - Engenharia de Produção - Pesquisa Operacional - Programação Linear, Não-Linear, Mista e Dinâmica",Tipo de vínculo desconhecido,sim,não,"ARTHUR HARRY FREDERICO RIBEIRO KRAMER (EXTERNO - Colaborador), LAYANE RODRIGUES DE SOUZA QUEIROZ (DOCENTE - Colaborador), MANUEL IORI (EXTERNO - Colaborador), MARIANA FERREIRA DE CARVALHO CHAVES (DISCENTE - Colaborador), RUAN MYLLER MAGALHAES DE OLIVEIRA (DISCENTE - Colaborador), THIAGO ALVES DE QUEIROZ (DOCENTE - Coordenador)",EM ANDAMENTO,31/01/2024,01/02/2024 a 01/02/2034,
PI05837-2024,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,MENTALIDADES MATEMÁTICAS: inovação em contextos de formação inicial e continuada de professores que ensinam matemática,"Ciências Exatas e da Terra - Matemática, Outras - Multidisciplinar",Tipo de vínculo desconhecido,sim,não,"ANDRE LUIZ GALDINO (DOCENTE - Colaborador), HENRIQUE MARINS DE CARVALHO (EXTERNO - Colaborador), JULIANA MORENO OLIVEIRA (EXTERNO - Colaborador), MARINA LONGHI DE FRANÇA (EXTERNO - Colaborador), SHIRLEY DA SILVA MACEDO (DOCENTE - Colaborador), THIAGO PORTO DE ALMEIDA FREITAS (DOCENTE - Coordenador), YA JEN CHANG BARRETO (EXTERNO - Colaborador)",EM ANDAMENTO,27/03/2024,01/03/2024 a 28/02/2026,
PI05815-2023,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,DESENVOLVIMENTO DA PESQUISA NO ÂMBITO DO  PROGRAMA DE PÓS-GRADUAÇÃO EM MODELAGEM E OTIMIZAÇÃO.,Outras - Multidisciplinar,Tipo de vínculo desconhecido,sim,não,"CELSO VIEIRA ABUD (DOCENTE - Vice-coodernador), DAYSE SILVEIRA DE ALMEIDA (DOCENTE - Colaborador), FRAN SERGIO LOBATO (EXTERNO - Colaborador), JOSE DOS REIS VIEIRA DE MOURA JUNIOR (DOCENTE - Colaborador), JOSE MATHEUS FERREIRA GOMES DOS PASSOS (SERVIDOR - Colaborador), MARCELO HENRIQUE STOPPA (DOCENTE - Coordenador), MARCOS AURELIO BATISTA (DOCENTE - Colaborador), MARCOS NAPOLEAO RABELO (DOCENTE - Colaborador), NADIA FELIX FELIPE DA SILVA (EXTERNO - Colaborador), ROMES ANTONIO BORGES (DOCENTE - Colaborador), THIAGO ALVES DE QUEIROZ (DOCENTE - Colaborador), VASTON GONCALVES DA COSTA (DOCENTE - Colaborador), WELLINGTON ANDRADE DA SILVA (DOCENTE - Colaborador)",EM ANDAMENTO,19/09/2023,19/09/2023 a 19/09/2025,
PI05703-2022,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,"Algoritmos para Problemas com decisões de Localização, Roteamento e suas Combinações",Engenharias - Engenharia de Produção - Pesquisa Operacional,Tipo de vínculo desconhecido,sim,não,"ANTONY MARCOLINO SILVA (DISCENTE - Colaborador), ARTHUR HARRY FREDERICO RIBEIRO KRAMER (EXTERNO - Colaborador), GABRIEL PERCIVAL STOPPA (DISCENTE - Colaborador), GISLENE DA SILVA FONSECA (DISCENTE - Colaborador), LAYANE RODRIGUES DE SOUZA QUEIROZ (DOCENTE - Colaborador), MANUEL IORI (EXTERNO - Colaborador), MARIANA FERREIRA DE CARVALHO CHAVES (DISCENTE - Colaborador), RUAN MYLLER MAGALHAES DE OLIVEIRA (DISCENTE - Colaborador), THIAGO ALVES DE QUEIROZ (DOCENTE - Coordenador), VINICIUS LOTI DE LIMA (EXTERNO - Colaborador)",EM ANDAMENTO,26/05/2022,01/06/2022 a 31/12/2027,
PI05637-2021,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,PROPOSTA PARA O DESENVOLVIMENTO DA PESQUISA NO  MBITO DO PROGRAMA DE PÓS-GRADUAÇÃO EM MODELAGEM E OTIMIZAÇÃO.  ,"Engenharias - Engenharia Elétrica - Eletrônica Industrial, Sistemas e Controles Eletrônicos - Automação Eletrônica de Processos Elétricos e Industriais, Outras - Multidisciplinar",Tipo de vínculo desconhecido,sim,não,"ANTOVER PANAZZOLO SARMENTO (DOCENTE - Colaborador), CELSO VIEIRA ABUD (DOCENTE - Colaborador), DAYSE SILVEIRA DE ALMEIDA (DOCENTE - Colaborador), FRAN SERGIO LOBATO (EXTERNO - Colaborador), JOSE DOS REIS VIEIRA DE MOURA JUNIOR (DOCENTE - Colaborador), JOSE MATHEUS FERREIRA GOMES DOS PASSOS (SERVIDOR - Colaborador), MARCELO HENRIQUE STOPPA (DOCENTE - Colaborador), MARCOS AURELIO BATISTA (DOCENTE - Colaborador), MARCOS NAPOLEAO RABELO (DOCENTE - Coordenador), NADIA FELIX FELIPE DA SILVA (DOCENTE - Vice-coodernador), ROMES ANTONIO BORGES (DOCENTE - Colaborador), THIAGO ALVES DE QUEIROZ (DOCENTE - Colaborador), VASTON GONCALVES DA COSTA (DOCENTE - Colaborador), WELLINGTON ANDRADE DA SILVA (DOCENTE - Colaborador)",FINALIZADO E AGUARDANDO PUBLICAÇÃO,11/08/2021,09/08/2021 a 09/08/2023,
PI04836-2020,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,PROPOSTA PARA O DESENVOLVIMENTO DA PESQUISA NO ÂMBITO DO PROGRAMA DE PÓS-GRADUAÇÃO EM MODELAGEM E OTIMIZAÇÃO,Outras - Multidisciplinar,Tipo de vínculo desconhecido,sim,não,"ANTOVER PANAZZOLO SARMENTO (DOCENTE - Colaborador), CELSO VIEIRA ABUD (DOCENTE - Colaborador), FRAN SERGIO LOBATO (EXTERNO - Colaborador), HEBER MARTINS DE PAULA (DOCENTE - Colaborador), JOSE DOS REIS VIEIRA DE MOURA JUNIOR (DOCENTE - Colaborador), MARCELO HENRIQUE STOPPA (DOCENTE - Colaborador), MARCOS AURELIO BATISTA (DOCENTE - Colaborador), MARCOS NAPOLEAO RABELO (DOCENTE - Colaborador), ROMES ANTONIO BORGES (DOCENTE - Coordenador), THIAGO ALVES DE QUEIROZ (DOCENTE - Colaborador), VASTON GONCALVES DA COSTA (DOCENTE - Colaborador), WELLINGTON ANDRADE DA SILVA (DOCENTE - Colaborador)",FINALIZADO E AGUARDANDO PUBLICAÇÃO,21/10/2020,09/10/2020 a 08/10/2022,
PI03662-2019,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,Modelagem Estocástica e Otimização Robusta de Estruturas Periódicas e Metamateriais em Dinâmica Estrutural,"Engenharias - Engenharia Mecânica - Mecânica dos Sólidos - Dinâmica dos Corpos Rígidos, Elásticos e Plásticos",Tipo de vínculo desconhecido,sim,não,"ANTONIO MARCOS GONCALVES DE LIMA (EXTERNO - Colaborador), CELSO VIEIRA ABUD (DOCENTE - Colaborador), DOMINGOS ALVES RADE (EXTERNO - Colaborador), LUIZ FERNANDO FERREIRA RODOVALHO (EXTERNO - Colaborador), MARCOS LUIZ HENRIQUE (EXTERNO - Colaborador), MARCOS NAPOLEAO RABELO (DOCENTE - Colaborador), ROMES ANTONIO BORGES (DOCENTE - Coordenador)",EM ANDAMENTO,09/04/2019,01/02/2019 a 30/09/2025,
PI03657-2017,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,Análise da Eficiência e Construção de Órteses e Próteses de Membro Superior,Engenharias - Engenharia Biomédica - Engenharia Médica - Tecnologia de Próteses,Tipo de vínculo desconhecido,sim,não,"CRISTIANO RICARDO DE ABREU (DOCENTE - Colaborador), ELISA RENNÓ CARNEIRO DESTER (EXTERNO - Colaborador), FABIANO VALIAS DE CARVALHO (EXTERNO - Colaborador), GLAYTON RICARDO GERMANO MARTINS (DISCENTE - Colaborador), JOSÉ AGUIOMAR FOGGIATTO (EXTERNO - Colaborador), MARCELO HENRIQUE STOPPA (DOCENTE - Coordenador)",FINALIZADO E AGUARDANDO PUBLICAÇÃO,12/04/2019,01/03/2017 a 31/12/2021,
PI01676-2017,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,Problemas com decisões Integradas de Localização e Roteamento: Abordagens Exatas e Heurísticas,"Engenharias - Engenharia de Produção - Pesquisa Operacional - Programação Linear, Não-Linear, Mista e Dinâmica",Com Programa de Pós-graduação da UFCAT,sim,não,"ALEXANDRE MAGNO BERNARDES FONSECA (DISCENTE - Colaborador), CARLOS EDUARDO DE ANDRADE (EXTERNO - Colaborador), FLAVIO KEIDI MIYAZAWA (EXTERNO - Colaborador), JÉSSICA GABRIELA DE ALMEIDA CUNHA (DISCENTE - Colaborador), KAMYLA MARIA FERREIRA (DISCENTE - Colaborador), LAYANE RODRIGUES DE SOUZA QUEIROZ (DOCENTE - Colaborador), LEANDRO RESENDE MUNDIM (EXTERNO - Colaborador), LEONARDO JUNQUEIRA (EXTERNO - Colaborador), LEONARDO MARTINS FREIRIA (DISCENTE - Colaborador), LUCIANA VIEIRA DE MELO (DISCENTE - Colaborador), OLIVIANA XAVIER DO NASCIMENTO (DISCENTE - Colaborador), RICARDO VINICIO SILVA MARTINS (DISCENTE - Colaborador), THIAGO ALVES DE QUEIROZ (DOCENTE - Coordenador), VINICIUS LOTI DE LIMA (EXTERNO - Colaborador)",FINALIZADO,18/08/2017,01/03/2017 a 31/12/2023,
PI01123-2015,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,Estudo sobre a dinâmica não - linear de corpos suspensos por campos acústicos.,"Ciências Exatas e da Terra - Física - Física Geral - Métodos Matemáticos da Física, Ciências Exatas e da Terra - Física - Áreas Clássicas de Fenomenologia e suas Aplicações - Acústica",Tipo de vínculo desconhecido,sim,não,"CELSO VIEIRA ABUD (DOCENTE - Coordenador), LEONARDO MARTINS FREIRIA (DISCENTE - Colaborador), MIROSMAR SILVÉRIO RODRIGUES (DISCENTE - Colaborador), TIAGO DOS SANTOS RAMOS (EXTERNO - Colaborador)",FINALIZADO,17/04/2017,01/12/2015 a 01/08/2021,
PI0130-2015,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,Uso de Teoria da Prova em Interoperabilidade de Verificador de Sistemas com aplicações em sistemas embarcados acoplados em um veiculo elétrico,Ciências Exatas e da Terra - Ciência da Computação - Teoria da Computação - Lógicas e Semântica de Programas,Tipo de vínculo desconhecido,sim,não,"EDWARD HERMANN HAEUSLER (EXTERNO - Colaborador), MARCELO HENRIQUE STOPPA (DOCENTE - Colaborador), NAYARA DE SOUZA SILVA (DISCENTE - Colaborador), THIAGO DE ALMEIDA BASTOS (DISCENTE - Colaborador), VASTON GONCALVES DA COSTA (DOCENTE - Coordenador)",FINALIZADO E AGUARDANDO PUBLICAÇÃO,22/02/2017,01/04/2015 a 31/12/2021,
PV01101-2014,INSTITUTO DE MATEMÁTICA E TECNOLOGIA DA UFCAT,PROJETO E DESENVOLVIMENTO DE PRÓTESE DE MÃO MECATRÔNICA DE BAIXO CUSTO,Engenharias - Engenharia Biomédica - Bioengenharia,Tipo de vínculo desconhecido,sim,não,"GLAYTON RICARDO GERMANO MARTINS (DISCENTE - Colaborador), MARCELO HENRIQUE STOPPA (DOCENTE - Coordenador), MATEUS FELIPE DA CUNHA PINTO (DISCENTE - Colaborador), MATHEUS DA SILVA BORGES (DISCENTE - Colaborador), RICARDO VINICIO SILVA MARTINS (DISCENTE - Colaborador), STEFANY MAYARA FERREIRA DE REZENDE (DISCENTE - Colaborador)",FINALIZADO,17/04/2017,03/03/2014 a 28/12/2018,
